Date,Open,High,Low,Close,Adj Close,Volume
2021-05-24,42.580002,42.779999,42.250000,42.630001,42.451302,31390800
2021-05-25,42.689999,43.259998,41.930000,42.009998,41.833897,52657700
2021-05-26,42.020000,42.250000,41.660000,42.040001,41.863773,41332800
2021-05-27,42.480000,42.849998,42.119999,42.549999,42.371635,52981100
2021-05-28,42.660000,42.709999,42.049999,42.389999,42.212307,38509700
2021-06-01,42.950001,43.279999,42.770000,42.919998,42.740082,42890700
2021-06-02,43.099998,43.169998,42.599998,42.939999,42.759998,34180500
2021-06-03,42.770000,43.490002,42.680000,43.250000,43.250000,46981200
2021-06-04,43.240002,43.389999,42.830002,43.270000,43.270000,37192600
2021-06-07,43.270000,43.389999,43.060001,43.119999,43.119999,28401900
2021-06-08,42.860001,43.240002,42.430000,42.880001,42.880001,41871400
2021-06-09,42.470001,42.730000,42.110001,42.320000,42.320000,42366300
2021-06-10,42.759998,42.959999,41.619999,41.689999,41.689999,40123600
2021-06-11,41.810001,41.889999,41.509998,41.860001,41.860001,31203600
2021-06-14,41.849998,41.910000,41.060001,41.360001,41.360001,36050700
2021-06-15,41.279999,41.560001,40.900002,41.389999,41.389999,39247900
2021-06-16,41.279999,41.990002,40.669998,41.619999,41.619999,63859100
2021-06-17,42.020000,42.099998,39.720001,39.799999,39.799999,80728200
2021-06-18,39.009998,39.299999,38.490002,38.779999,38.779999,102774200
2021-06-21,39.119999,39.779999,39.029999,39.750000,39.750000,48119400
2021-06-22,39.880001,40.259998,39.279999,39.970001,39.970001,44113200
2021-06-23,40.160000,40.419998,40.070000,40.200001,40.200001,32039900
2021-06-24,40.439999,41.009998,40.180000,40.830002,40.830002,37161800
2021-06-25,41.270000,41.830002,40.840000,41.619999,41.619999,53178800
2021-06-28,41.459999,41.580002,41.099998,41.560001,41.560001,34416500
2021-06-29,41.630001,41.950001,40.750000,40.889999,40.889999,38519600
2021-06-30,40.759998,41.360001,40.720001,41.230000,41.230000,29159800
2021-07-01,41.560001,41.700001,41.209999,41.540001,41.540001,28045100
2021-07-02,41.369999,41.470001,41.099998,41.150002,41.150002,28980800
2021-07-06,40.810001,40.880001,39.869999,40.070000,40.070000,47578700
2021-07-07,39.570000,40.000000,39.360001,39.750000,39.750000,43499900
2021-07-08,38.619999,39.240002,38.480000,38.779999,38.779999,52793100
2021-07-09,39.650002,40.240002,39.400002,40.040001,40.040001,43871700
2021-07-12,39.790001,40.810001,39.639999,40.630001,40.630001,42624500
2021-07-13,40.480000,40.480000,39.580002,39.860001,39.860001,54338100
2021-07-14,39.110001,39.549999,37.790001,38.860001,38.860001,105651700
2021-07-15,38.389999,39.330002,38.320000,38.830002,38.830002,54697300
2021-07-16,39.220001,39.290001,37.590000,37.919998,37.919998,60441300
2021-07-19,36.750000,37.250000,36.509998,36.930000,36.930000,83251500
2021-07-20,36.860001,38.119999,36.610001,37.689999,37.689999,59432800
2021-07-21,38.049999,38.770000,37.980000,38.459999,38.459999,49898400
2021-07-22,38.360001,38.400002,37.680000,37.959999,37.959999,52698000
2021-07-23,38.200001,38.270000,37.650002,37.665001,37.665001,26121817
